Component,Ag,Al,B,Ba,Bi,C,Ca,Fe,Hf,Ho,K,Li,Mn,Na,Nb,O,Pr,Sb,Sc,Sr,Ta,Ti,Zn,Zr,Avg_AtomicMass,Avg_AtomicRadius,Avg_Electronegativity,Avg_Valence,d33 (pC/N)
(Na0.52K0.48)(Nb0.91Sb0.01)O3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.52,0.91,3.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,33.43262195121952,105.67886178861788,2.5759552845528457,4.796747967479675,230.0
K0.334Na0.666NbO3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.334,0.0,0.0,0.666,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.856148,105.13879999999999,2.562652,4.8,105.0
K0.455Na0.545NbO3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.455,0.0,0.0,0.545,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.24601,106.131,2.55999,4.8,142.0
0.94(K0.40Na0.60)NbO3–0.06LiSbO3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.376,0.0,0.0,0.564,0.94,2.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0688,105.68,2.5612000000000004,4.8,280.0
(Na0.52K0.44Li0.04)Nb0.87Sb0.08Ta0.05O3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.04,0.0,0.52,0.87,3.0,0.0,0.08,0.0,0.0,0.05,0.0,0.0,0.0,35.41128,105.63999999999999,2.56692,4.8,376.0
K0.538Na0.462NbO3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.538,0.0,0.0,0.462,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.513436,106.8116,2.558164,4.8,145.0
(K0.50Na0.50)0.97Bi0.01(Nb0.98Zr0.02)O3,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.485,0.0,0.0,0.485,0.98,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,34.75494979919679,106.05321285140563,2.5669779116465867,4.819277108433735,161.0
K0.882Na0.118NbO3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.882,0.0,0.0,0.118,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.621804,109.6324,2.550596,4.8,110.0
0.92Na0.535K0.48NbO3–0.08LiNbO3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4416,0.0,0.0,0.4922,0.92,2.7600000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.292652043868394,106.5742771684945,2.5545663010967097,4.788634097706879,280.0
0.95(K0.48Na0.52)NbO3–0.05LiSbO3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45599999999999996,0.0,0.0,0.494,0.95,2.8499999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.32655999999999,106.336,2.5594399999999995,4.8,270.0
